X,Y,Intersection,All Motorized Vehicles AADT (24 hour volume) ,% Trucks,Pedestrians Not Factored,Bicycles Not Factored,Data Collection Date,,,,,
365667.6989,5029500.561,DUHAMEL ST @ FAIRMONT AVE,1649,7.55%,287,112,13-Aug-15,,,,,
365090.6441,5012122.311,DUNDONALD DR @ GREENBANK RD,8390,4.49%,85,36,04-Jun-15,,,,,
398072.9011,5023377.441,DUNNING RD @ RUSSLAND RD,2781,3.65%,0,0,28-Oct-15,,,,,
347176.9101,5026065.53,DUNROBIN RD @ MARCH RD,13818,5.51%,1,0,25-Nov-15,,,,,
385213.286,5038092.438,DUPLANTE AVE @ SENATEURS WAY,486,3.71%,20,13,14-May-15,,,,,
351583.4811,4993404.044,DWYER HILL RD @ O'NEIL RD,1457,4.72%,0,1,04-Nov-15,,,,,
354998.6271,5015092.43,EAGLESON RD @ EMERALD MEADOWS DR,10521,3.26%,31,6,13-May-15,,,,,
353037.1811,5020013.788,EAGLESON RD @ HWY 417 EAGLESO IC138R51,50097,3.25%,1616,6,08-Dec-15,,,,,
353214.6241,5019565.47,EAGLESON RD @ KATIMAVIK RD/TIMM DR,43707,3.25%,32,10,01-Dec-15,,,,,
354009.6249,5017577.452,EAGLESON RD @ PALOMINO DR N,31088,2.42%,59,3,03-Mar-15,,,,,
358015.6271,5007410.358,EAGLESON RD @ PERTH ST/RICHMOND RD,13128,3.78%,2,18,12-Aug-15,,,,,
367572.717,5014684.395,EARL ARMSTRONG RD @ RIVER RD,37690,4.01%,60,26,30-Sep-15,,,,,
367572.717,5014684.395,EARL ARMSTRONG RD @ RIVER RD,32815,4.09%,91,42,13-May-15,,,,,
381713.729,5037615.939,EDGAR BRAULT ST @ RIDGEGATE ST,1336,3.07%,22,29,21-May-15,,,,,
368252.7071,5031054.573,ELGIN ST @ GILMOUR ST,15507,4.09%,3839,424,09-Sep-15,,,,,
375158.7151,5000922.323,ELIZABETH ST @ PHILIP ST,1252,2.62%,22,27,03-Jun-15,,,,,
350441.9929,5013102.944,ELM CRES N @ STITTSVILLE MAIN ST,13344,3.67%,80,10,27-May-15,,,,,
383028.7471,5038712.587,ERIC CZAPNIK WAY @ ST. JOSEPH BLVD,8456,4.45%,40,6,23-Apr-15,,,,,
385141.5781,5035343.548,ESPRIT DR @ BLACKBURN BYPASS,11207,4.42%,230,1,31-Mar-15,,,,,
365785.7,5029231.558,FAIRMONT AVE @ EDGAR ST,2806,2.28%,208,23,13-Jan-15,,,,,
365785.7,5029231.558,FAIRMONT AVE @ EDGAR ST,2544,2.51%,402,264,07-Oct-15,,,,,
360278.3929,5014851.603,FALLOWFIELD RD @ HWY 416 FALLOWFI IC66R24,21722,6.71%,2,9,04-Jun-15,,,,,
359501.657,5014636.426,FALLOWFIELD RD @ MOODIE DR,26658,13.78%,1,4,02-Sep-15,,,,,
359501.657,5014636.426,FALLOWFIELD RD @ MOODIE DR,24523,9.50%,2,4,31-Mar-15,,,,,
365515.2529,5013298.042,FENCEROW WAY @ GOLFLINKS DR,3262,2.51%,33,0,01-Apr-15,,,,,
351494.0981,5012638.249,FERNBANK RD @ LIARD ST,7475,4.87%,98,31,07-Oct-15,,,,,
350934.5879,5012161.41,FERNBANK RD @ STITTSVILLE MAIN ST,9321,6.56%,57,6,09-Dec-15,,,,,
368719.4071,5029588.702,FIFTH AVE @ O'CONNOR ST,3898,3.78%,511,263,15-Apr-15,,,,,
366261.7041,5025799.528,FISHER AVE @ MALIBU TER,20321,3.93%,161,158,21-May-15,,,,,
379735.7411,5035680.579,FOREST VALLEY DR @ FORESTGLEN CRES S,5891,2.47%,48,67,02-Sep-15,,,,,
380076.7359,5037696.595,FORTUNE DR @ ST. JOVITE RDG N,2926,3.72%,17,1,01-Dec-15,,,,,
379580.7351,5037233.593,FORTUNE DR @ ST. MORITZ CRT E,2326,4.15%,91,0,17-Dec-15,,,,,
366274.6559,4999562.287,FOURTH LINE RD @ PRINCE OF WALES DR,4785,5.31%,1,1,12-Nov-15,,,,,
356521.611,5006051.347,FOWLER ST/NIXON FARM DR @ PERTH ST,8663,3.82%,73,14,12-Aug-15,,,,,
387530.28,5037629.861,FRANK KENNY RD W @ INNES RD,10383,6.63%,0,51,07-Jul-15,,,,,
350759.811,5018219.855,FRANK NIGHBOR PL @ SILVER SEVEN RD,8222,1.85%,2,0,20-Jan-15,,,,,
362835.689,5026835.537,FRASER AVE @ TILLBURY AVE,1887,1.91%,69,70,11-Aug-15,,,,,
370170.7101,5029578.465,FROBISHER LANE @ OLD RIVERSIDE DR,2640,2.97%,3,5,25-Feb-15,,,,,
361811.683,5024082.512,GATEWAY RD @ IRIS ST,4018,3.92%,191,125,29-Jul-15,,,,,
367583.706,5030361.567,GLADSTONE AVE @ LYON ST,19443,2.16%,752,124,02-Dec-15,,,,,
366490.966,5029712.332,GLADSTONE AVE @ PRESTON ST,24469,6.06%,1651,129,02-Dec-15,,,,,
366490.966,5029712.332,GLADSTONE AVE @ PRESTON ST,22228,6.01%,1382,440,09-Jun-15,,,,,
368306.1321,5028137.759,GLEN AVE @ SENECA ST,1542,6.16%,253,74,18-Nov-15,,,,,
362914.689,5027915.547,GOLDEN AVE @ RAVENHILL AVE,850,3.47%,88,73,25-Aug-15,,,,,
393958.8529,5028407.481,GOLF COURSE RD/WHISPERING WILLOW DR S @ MCNEELY,575,4.85%,4,2,25-Aug-15,,,,,
366031.0301,5012609.969,GOLFLINKS DR E @ JOCKVALE RD,11754,2.48%,4,8,07-Jul-15,,,,,
349438.006,5022666.636,GOULBOURN FORCED RD @ INNOVATION DR,8977,2.99%,199,48,01-Oct-15,,,,,
349777.1249,5020353.56,GOULBOURN FORCED RD @ KANATA AVE,8230,3.54%,164,76,25-Jun-15,,,,,
348356.0279,5023800.355,GOWARD DR @ HALTON TER,1789,5.90%,299,0,25-Mar-15,,,,,
347882.909,5023410.318,GOWARD DR @ OLD SECOND LINE RD,4023,2.73%,10,46,27-May-15,,,,,
365218.8789,5023514.782,GRANT CARMAN DR @ FAMILY BROWN LANE,5551,0.97%,114,101,03-Jun-15,,,,,
365051.6989,5023901.512,GRANT CARMAN DR @ MEADOWLANDS DR,18965,2.09%,432,3,21-Jan-15,,,,,
332266.5019,5026644.572,GRANTS SIDE RD @ JOHN SHAW RD,125,18.35%,0,0,18-Nov-15,,,,,
356073.1241,5015753.85,GRASSY PLAINS DR @ MEADOWBREEZE DR E,4933,3.51%,49,0,25-Mar-15,,,,,
366994.7071,5026707.536,GREEN VALLEY CRES @ PRINCE OF WALES DR,25358,1.79%,70,5,13-Jan-15,,,,,
361256.677,5021017.485,GREENBANK RD @ BELLMAN DR/BATEMAN DR,28053,3.22%,330,1,24-Feb-15,,,,,
363723.6849,5015276.436,GREENBANK RD @ BERRIGAN DR/WESSEX RD,35143,2.54%,192,6,08-Dec-15,,,,,
361106.677,5021364.488,GREENBANK RD @ CANFIELD RD/CRAIG HENRY DR,30174,2.86%,366,1,24-Feb-15,,,,,
360531.309,5023312.494,GREENBANK RD @ IRIS ST/HWY 417 GREENBA IC129R5,51742,2.86%,821,13,01-Apr-15,,,,,
360554.6751,5022893.492,GREENBANK RD @ LISA AVE,35722,2.61%,407,2,03-Mar-15,,,,,
380128.7389,5036818.587,GREY NUNS DR @ LUMBERMAN WAY,3325,2.91%,131,5,22-Oct-15,,,,,
384028.7899,5026939.509,HALL RD S @ RUSSELL RD,4894,4.59%,0,0,28-Oct-15,,,,,
370130.709,5033636.594,HANNAH ST @ MARIER AVE,4560,3.99%,65,158,02-Sep-15,,,,,
368665.7101,5030476.567,HAWTHORNE AVE/ISABELLA ST @ QUEEN ELIZABETH DR,34050,1.59%,694,57,06-Jan-15,,,,,
368665.7101,5030476.567,HAWTHORNE AVE/ISABELLA ST @ QUEEN ELIZABETH DR,28326,1.53%,1426,436,15-Apr-15,,,,,
375507.5,5026406.75,HAWTHORNE RD @ HUNT CLUB RD,45481,11.41%,6,4,17-Sep-15,,,,,
377038.7589,5022709.501,HAWTHORNE RD @ LEITRIM RD,18832,15.19%,3,0,15-Oct-15,,,,,
378618.771,5018940.476,HAWTHORNE RD @ RIDEAU RD,8102,23.32%,0,0,02-Jul-15,,,,,
374674.7381,5028499.542,HAWTHORNE RD/RUSSELL RD @ WALKLEY RD,50969,11.74%,71,23,17-Sep-15,,,,,
350186.591,5015396.438,HAZELDEAN RD @ JOHNWOODS ST/VICTOR ST,32383,3.27%,58,3,01-Dec-15,,,,,
349876.0907,5015115.939,HAZELDEAN RD @ SPRINGBROOK DR,32859,3.40%,31,3,01-Dec-15,,,,,
350581.8501,5023785.793,HELMSDALE DR @ TERRY FOX DR,8452,2.50%,208,113,04-Jun-15,,,,,
367074.7049,5029412.559,HENRY ST @ LEBRETON ST,2042,2.25%,121,46,18-Nov-15,,,,,
372267.174,5027083.453,HERON RD @ WALKLEY RD,39291,4.01%,8,5,03-Dec-15,,,,,
379322.7299,5038291.604,HIAWATHA PARK RD @ ST. LOUIS DR,2220,8.69%,42,0,18-Feb-15,,,,,
350048.971,5022873.572,HINES RD @ INNOVATION DR,6349,2.84%,116,21,22-Oct-15,,,,,
364690.6951,5029667.563,HOLLAND AVE @ YARROW ST,6785,13.39%,5368,157,22-Sep-15,,,,,
364737.6951,5029595.562,HOLLAND AVE/TUNNEY'S PASTURE @ SCOTT ST,22913,6.97%,6620,375,22-Sep-15,,,,,
356952.6411,5015485.433,HOPE SIDE RD @ RICHMOND RD,12041,4.30%,2,24,18-Jun-15,,,,,
372823.7359,5024807.519,HUNT CLUB RD @ LORRY GREENBERG DR/SABLE RIDGE,34618,5.07%,167,22,17-Sep-15,,,,,
374193.7411,5025653.523,HUNT CLUB RD @ MALAK ST,29528,5.77%,9,10,17-Sep-15,,,,,
373296.7381,5025088.52,HUNT CLUB RD @ PIKE ST/MAPLE PARK PRIV,30784,4.84%,65,28,17-Sep-15,,,,,
368036.714,5021945.497,HUNT CLUB RD @ RIVERSIDE DR,79086,3.59%,72,82,30-Sep-15,,,,,
356891.6151,5006389.349,HUNTLEY RD @ PERTH ST,14655,3.19%,30,12,02-Sep-15,,,,,
350267.6419,5016713.515,HUNTMAR DR @ MAPLE GROVE RD,15614,3.96%,122,12,21-Oct-15,,,,,
350267.6419,5016713.515,HUNTMAR DR @ MAPLE GROVE RD,15057,3.95%,61,53,24-Jun-15,,,,,
348208.5849,5018982.471,HUNTMAR DR @ RICHARDSON SIDE RD,12306,2.68%,0,29,30-Jun-15,,,,,
351616.063,5019224.795,HWY 417 CASTLEFR IC139R61 @ KANATA AVE,18534,5.03%,15,2,03-Mar-15,,,,,
356458.651,5022042.492,HWY 417 MOODIE IC134R52 @ MOODIE DR,17679,3.59%,1,26,15-Oct-15,,,,,
349052.7211,5017058.464,HWY 417 PALLADI IC142R36 @ PALLADIUM DR,8154,9.71%,0,0,04-Mar-15,,,,,
372530.723,5031410.569,HWY 417 ST.LAURE IC115R51 @ ST. LAURENT BLVD,44973,6.13%,91,2,04-Feb-15,,,,,
351052.606,5018433.462,HWY 417 TERRYFO IC140R52 @ TERRY FOX DR,51261,3.12%,36,3,01-Dec-15,,,,,
370799.7159,5031397.572,HWY 417 VANIER IC117R63 @ VANIER PKWY,66011,3.73%,58,22,16-Jul-15,,,,,
370684.717,5030592.566,INDUSTRIAL AVE @ RIVERSIDE DR,70374,4.33%,204,13,27-Jan-15,,,,,
372465.7249,5030279.56,INDUSTRIAL AVE @ RUSSELL RD,25953,6.31%,73,5,25-Nov-15,,,,,
371685.9551,5030539.479,INDUSTRIAL AVE @ TRAINYARDS DR,25633,5.72%,178,2,19-Feb-15,,,,,
373099.7279,5030005.557,INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD,53999,5.71%,188,73,29-Jul-15,,,,,
374855.0565,5030996.709,INNES RD @ 215 W OF CYRVILLE RD/HOME DEPOT W,58129,4.86%,25,5,24-Nov-15,,,,,
362282.6849,5024441.516,IRIS ST @ WOODROFFE AVE,47773,2.14%,225,12,21-Jan-15,,,,,
368297.709,5030309.566,ISABELLA ST/HWY 417 O'CONN IC119BR57 @ O'CONNOR,30861,3.13%,686,12,17-Dec-15,,,,,
364130.694,5028867.556,ISLAND PARK DR @ RICHMOND RD,25490,2.30%,815,186,18-Nov-15,,,,,
379670.7381,5036700.588,JEANNE D'ARC BLVD @ GREY NUNS DR/YOUVILLE DR,26075,2.83%,489,3,25-Nov-15,,,,,
363323.6819,5014773.431,JOCKVALE RD @ EXETER DR/TARTAN DR,16377,2.25%,78,14,10-Jun-15,,,,,
362512.677,5015143.433,JOCKVALE RD @ FABLE ST/WEYBRIDGE DR E,15268,2.59%,271,22,10-Jun-15,,,,,
366709.697,5012195.412,JOCKVALE RD/RIDEAU VALLEY DR @ PRINCE OF WALES,26352,3.49%,1,14,01-Oct-15,,,,,
381216.0301,5032058.324,JODI CRT @ KEITH CRES,156,4.20%,24,15,21-May-15,,,,,
373023.4503,5025868.681,JOHNSTON RD @ 65 W OF ALLANFORD AVE,6834,2.34%,58,7,02-Dec-15,,,,,
349571.58,5013302.423,JONATHAN PACK ST @ STITT ST,916,3.58%,89,73,24-Jun-15,,,,,
350286.5929,5019728.823,KANATA AVE @ GOLDRIDGE DR/EVANSHEN PL,12547,2.10%,194,64,25-Jun-15,,,,,
349332.9718,5019831.381,KANATA AVE @ RICHARDSON SIDE RD,6660,4.68%,26,32,27-May-15,,,,,
369744.7181,5027678.543,KILBORN AVE @ KILBORN PL/LAMIRA ST,7394,3.00%,398,225,10-Jun-15,,,,,
368106.2611,5022794.691,KIMBERWICK CRES @ TATTERSALL WAY,1089,3.57%,68,20,28-May-15,,,,,
392714.7981,5041936.559,KINSELLA DR @ QUILLIVAN LANE,483,3.05%,5,2,23-Jun-15,,,,,
370540.8751,5025499.97,KITCHENER AVE @ BANK ST,32689,3.27%,496,74,16-Jul-15,,,,,
349262.971,5024061.621,KLONDIKE RD @ MARCH RD,24276,2.77%,104,0,03-Feb-15,,,,,
349696.629,5024462.513,KLONDIKE RD @ MARCONI AVE,3868,5.59%,541,37,27-May-15,,,,,
361863.6811,5020584.482,KNOXDALE RD @ WEST HUNT CLUB RD,33110,3.21%,0,0,04-Mar-15,,,,,
372541.7219,5031688.571,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,13063,1.99%,82,0,18-Feb-15,,,,,
368877.7079,5032117.582,LAURIER AVE @ NELSON ST,10412,3.08%,4172,70,10-Feb-15,,,,,
382759.743,5039373.595,LAWLER CRES W @ WINCANTON DR W,707,3.48%,68,31,04-Jun-15,,,,,
381344.7449,5036964.582,LEBLANC DR @ MICHAELSEM ST E,621,4.11%,71,1,28-Jan-15,,,,,
369178.7989,5031334.746,LEES AVE @ KING EDWARD AVE/MANN AVE,29997,6.30%,223,8,06-Jan-15,,,,,
369004.42,5030561.651,LEES AVE @ MAIN ST/GRAHAM AVE,23399,3.13%,812,29,28-Jan-15,,,,,
369004.42,5030561.651,LEES AVE @ MAIN ST/GRAHAM AVE,10900,5.40%,586,112,09-Dec-15,,,,,
350175.6181,5023443.011,LEGGET DR @ TERRY FOX DR,11524,2.18%,202,114,30-Jun-15,,,,,
373497.589,5020419.257,LEITRIM RD @ ALBION RD,28143,4.20%,62,0,27-Jan-15,,,,,
368019.7121,5017177.458,LEITRIM RD @ RIVER RD,13548,2.31%,0,8,13-May-15,,,,,
372391.7219,5031742.572,LEMIEUX ST @ ST. LAURENT BLVD,61277,4.89%,362,9,17-Dec-15,,,,,
372391.7219,5031742.572,LEMIEUX ST @ ST. LAURENT BLVD,47254,4.44%,118,4,04-Feb-15,,,,,
366150.7011,5016180.447,LEWISTON AVE @ MARKLAND CRES,741,5.68%,18,0,06-Jan-15,,,,,
368403.997,5020477.312,LIMEBANK RD @ RIVER RD/RIVERSIDE DR,27292,2.75%,4,84,13-May-15,,,,,
375261.717,5001561.33,LOGAN FARM DR @ LOMBARDY DR,713,6.13%,25,2,17-Dec-15,,,,,
328301.5019,5028975.606,LOGGERS WAY @ RABBIT PATH,311,7.61%,0,0,17-Nov-15,,,,,
325429.531,5032092.648,LOGGERS WAY @ RIDDLEDALE RD,248,23.50%,0,0,17-Nov-15,,,,,
371137.7159,5031971.577,LOLA ST @ PRINCE ALBERT ST,4654,4.33%,300,92,08-Oct-15,,,,,
364841.334,5014200.437,LONGFIELDS DR @ PAUL METIVIER DR,12438,3.20%,49,46,30-Apr-15,,,,,
367253.7101,5021558.494,MACFARLANE RD @ DEAKIN ST,12560,2.66%,27,64,07-May-15,,,,,
322941.5049,5030752.652,MACHARDY RD @ GALETTA SIDE RD,2468,7.16%,0,1,17-Nov-15,,,,,
322941.5049,5030752.652,MACHARDY RD @ GALETTA SIDE RD,2468,7.16%,0,1,17-Nov-15,,,,,
369064.7049,5033636.596,MACKAY ST @ VAUGHAN ST,3047,3.23%,462,172,02-Sep-15,,,,,
368372.146,5031992.634,MACKENZIE KING BR/WALLER ST @ NICHOLAS ST,21455,24.06%,5721,36,09-Apr-15,,,,,
369431.7411,5029532.494,MAIN ST @ RIVERDALE AVE,28084,2.30%,91,12,28-Jan-15,,,,,
363229.6901,5025774.528,MAITLAND AVE/HWY 417 MAITLAND IC126R53 @ HWY 417,40338,1.80%,16,0,13-Jan-15,,,,,
363145.6901,5025983.53,MAITLAND AVE/HWY 417 MAITLAND IC126R62 @ HWY 417,30597,2.16%,32,43,12-Aug-15,,,,,
382213.7471,5037529.582,MAJOR RD @ TOMPKINS AVE,2773,3.74%,96,0,17-Dec-15,,,,,
351123.8718,5022009.562,MARCH RD @ 280 S OF CARLING AVE/GATEWAY MALL S,39932,1.92%,215,16,10-Mar-15,,,,,
351414.617,5021779.49,MARCH RD @ RICHARDSON SIDE RD,41465,2.22%,65,1,11-Feb-15,,,,,
350489.6129,5022710.499,MARCH RD @ SOLANDT RD,59816,2.13%,167,20,08-Dec-15,,,,,
350754.566,5023784.002,MARCH VALLEY RD @ TERRY FOX DR,10478,1.24%,131,152,04-Jun-15,,,,,
372744.28,5025507.629,MARGRAVE AVE @ ZAIDAN DR,4756,1.65%,141,25,24-Jun-15,,,,,
364286.8811,5014761.599,MARKETPLACE AVE @ RIOCAN AVE,11266,4.15%,768,12,30-Apr-15,,,,,
385095.3841,5036502.852,MARSHFIELD ST @ LICHEN AVE,806,3.16%,3,0,07-Jan-15,,,,,
357017.614,5005948.345,MARTIN ST @ MCBEAN ST,3782,2.47%,108,19,12-Aug-15,,,,,
374826.7329,5031173.562,MAXIME ST @ CYRVILLE RD,14513,4.03%,67,50,03-Nov-15,,,,,
374826.7329,5031173.562,MAXIME ST @ CYRVILLE RD,13991,4.12%,71,89,26-May-15,,,,,
371082.606,5032784.8,MCARTHUR AVE @ IRWIN MILLER ST,13966,4.15%,479,96,26-May-15,,,,,
370483.3611,5032719.477,MCARTHUR AVE @ OLMSTEAD ST,12681,3.23%,281,123,29-Jul-15,,,,,
370218.711,5032690.585,MCARTHUR AVE @ VANIER PKWY,49686,2.07%,1236,153,16-Jul-15,,,,,
356743.614,5006255.348,MCBEAN ST @ PERTH ST,11760,2.73%,88,9,12-Aug-15,,,,,
370418.7249,5023606.511,MCCARTHY RD @ PLANTE DR S,7907,5.02%,52,2,13-Jan-15,,,,,
351169.5079,4988762.323,MCKENNA RD @ MONTAGUE BOUNDARY RD,98,9.29%,1,0,17-Nov-15,,,,,
364858.6981,5023725.511,MEADOWLANDS DR @ MERIVALE RD,54526,2.76%,768,12,09-Dec-15,,,,,
363056.689,5022730.501,MEADOWLANDS DR/TALLWOOD DR @ WOODROFFE AVE,47540,4.40%,554,2,03-Feb-15,,,,,
364832.697,5027800.546,MERIVALE RD @ 112 N OF CARLING AVE/WESTGATE SC,15536,1.75%,61,27,01-Dec-15,,,,,
364944.8794,5023527.764,MERIVALE RD @ 210 S OF MEADOWLANDS DR,29193,3.20%,182,6,19-Feb-15,,,,,
366153.3279,5020632.42,MERIVALE RD @ MACFARLANE RD,20780,4.13%,13,34,28-May-15,,,,,
367565.703,5031817.581,METCALFE ST @ WELLINGTON ST,20679,11.46%,3066,3,10-Feb-15,,,,,
387855.7989,5031438.517,METEOR AVE @ MUSTANG ST,550,8.64%,16,1,04-Jun-15,,,,,
371673.726,5012108.42,MITCH OWENS RD @ DOZOIS RD/LIMEBANK RD,18227,8.93%,2,3,01-Oct-15,,,,,
377088.7611,5015548.453,MITCH OWENS RD @ OLD PRESCOTT RD,14946,9.89%,0,0,02-Dec-15,,,,,
375399.7501,5014484.445,MITCH OWENS RD @ STAGECOACH RD,18480,9.47%,0,7,02-Dec-15,,,,,
369499.7101,5010770.404,MITCH OWENS RD/BRIDGE ST @ RIVER RD,25301,6.59%,23,4,30-Sep-15,,,,,
368370.7101,5029295.557,MONK ST @ THORNTON AVE,1509,2.61%,535,239,14-May-15,,,,,
371746.1746,5033914.474,MONTREAL RD @ 46 E OF HILLSIDE DR/MONTREAL SQUARE,32534,2.57%,1345,3,18-Feb-15,,,,,
375654.7271,5034556.587,MONTREAL RD @ OGILVIE RD,29495,3.17%,704,57,16-Jul-15,,,,,
370070.5359,5033064.036,MONTREAL RD @ VANIER PKWY,49635,2.19%,1802,328,16-Jul-15,,,,,
357907.654,5018498.461,MOODIE DR @ WEST HUNT CLUB RD,22674,4.10%,1,1,04-Mar-15,,,,,
362706.2419,5023492.801,NAVAHO DR @ WOODROFFE AVE/TRANSITWAY N BASELINE,36819,2.09%,1690,4,21-Jan-15,,,,,
381659.76,5032770.55,NAVAN RD @ PAGE RD,11258,9.53%,20,7,03-Jun-15,,,,,
385757.7849,5031832.527,NAVAN RD @ TENTH LINE RD,9515,8.18%,0,0,25-Nov-15,,,,,
368650.9811,5032498.951,NELSON ST @ RIDEAU ST,19119,7.54%,5900,48,01-Dec-15,,,,,
367562.7041,5031133.574,NEPEAN ST @ BANK ST,9973,8.02%,10107,848,17-Jun-15,,,,,
385417.7501,5036993.822,NESTING WAY N @ PETITE LANE N,485,2.63%,17,2,24-Nov-15,,,,,
385324.3071,5035359.47,NESTLETON ST @ CORBRIDGE ST,516,4.23%,2,0,28-Jan-15,,,,,
363562.691,5022601.5,NORICE ST @ SULLIVAN AVE,2789,1.63%,48,0,18-Feb-15,,,,,
350347.586,5013010.418,NORWAY SPRUCE ST N @ ELM CRES N,1724,1.81%,4,28,04-Jun-15,,,,,
377889.763,5013683.44,OLD PRESCOTT RD @ PARKWAY RD,6451,6.32%,0,0,02-Dec-15,,,,,
362648.3071,5028268.661,OTTAWA RIVER PKWY @ TRANSITWAY -  SCOTT ST,27956,8.04%,525,0,03-Feb-15,,,,,
365977.2823,5030800.241,OTTAWA RIVER PKWY @ VIMY PLACE PRIV,48782,2.65%,266,50,22-Sep-15,,,,,
362572.371,5028182.346,OTTAWA RIVER PKWY WB @ TRANSITWAY,40590,7.19%,643,0,08-Dec-15,,,,,
365657.7019,5023077.506,OVERLAKE DR @ VIEWMOUNT DR,8168,4.41%,130,57,13-May-15,,,,,
351051.6041,5017887.457,PALLADIUM DR @ SILVER SEVEN RD,24343,1.42%,69,4,25-Nov-15,,,,,
367821.703,5032556.587,PARENT AVE @ ST. PATRICK ST,7752,2.98%,1929,320,06-Aug-15,,,,,
365336.6989,5028845.555,PARKDALE AVE @ HWY 417 PARKDAL IC122R15/HWY 41,20871,2.86%,202,101,12-Aug-15,,,,,
364949.6959,5029726.563,PARKDALE AVE @ SCOTT ST,27754,2.75%,1799,172,22-Sep-15,,,,,
369457.7211,5023575.511,PAUL ANKA DR @ UPLANDS DR,8405,4.84%,536,41,02-Jun-15,,,,,
383261.754,5037078.573,PAYETTE DR @ VINCE DR,550,2.68%,30,2,14-May-15,,,,,
371287.7181,5031299.571,PICKERING PL @ TREMBLAY RD,5212,5.30%,21,4,27-Jan-15,,,,,
360388.0879,5023677.842,PINECREST RD/HWY 417 PINECRE IC129R63 @ TRANSIT WAY,35994,4.79%,708,37,12-Aug-15,,,,,
364679.6959,5020488.483,PINELAND AVE @ VAAN DR,680,8.68%,18,15,12-May-15,,,,,
364679.6959,5020488.483,PINELAND AVE @ VAAN DR,398,12.08%,7,0,06-Jan-15,,,,,
381391.7411,5038030.591,PLACE D'ORLEANS DR @ OR174 IC102 RAMP51/TRANSITWAY,12346,7.57%,26,0,25-Feb-15,,,,,
385350.763,5037697.566,PORTOBELLO BLVD @ VALIN ST,11425,2.77%,195,10,23-Apr-15,,,,,
370436.2456,5031747.986,PRESLAND RD @ VANIER PKWY,41815,1.56%,113,203,30-Jul-15,,,,,
366900.7049,5028776.554,PRESTON ST @ PRINCE OF WALES DR/QUEEN ELIZABET,24486,2.57%,712,256,15-Apr-15,,,,,
366309.2729,5030126.78,PRESTON ST @ SOMERSET ST,22662,5.43%,1727,576,09-Jun-15,,,,,
382628.7471,5038238.585,PRESTONE DR @ RIVER RIDGE CRES W/KENNEDY LANE,4311,4.18%,81,37,02-Sep-15,,,,,
367399.7101,5019166.474,PRINCE OF WALES DR @ FALLOWFIELD RD,23606,2.57%,4,84,28-Apr-15,,,,,
367016.7071,5027300.541,PRINCE OF WALES DR @ HARTWELL LOCKS/548 N OF R,23603,2.54%,35,103,02-Dec-15,,,,,
367449.709,5017616.461,PRINCE OF WALES DR @ MERIVALE RD,20501,3.25%,4,13,28-Apr-15,,,,,
367446.711,5024562.518,PRINCE OF WALES DR @ NORMANDY CRES S/KOCHAR DR,24750,2.65%,23,2,13-Jan-15,,,,,
367427.1301,5025222.893,PRINCE OF WALES DR @ NORMANDY CRES/MELFA CRES,21902,3.20%,123,426,26-May-15,,,,,
367175.2921,5014824.188,PRINCE OF WALES DR @ STRANDHERD DR,39728,3.19%,55,13,22-Oct-15,,,,,
367458.711,5021891.497,PRINCE OF WALES DR @ WEST HUNT CLUB RD,69510,3.97%,41,97,27-Oct-15,,,,,
368228.5529,5034331.429,PRINCESS AVE @ ROCKCLIFFE PKWY,13830,0.87%,61,231,30-Jul-15,,,,,
372403.7249,5030097.559,PULLEN AVE @ SHELLEY AVE,1131,1.93%,41,20,03-Sep-15,,,,,
369186.7041,5033909.598,PUTMAN AVE @ SPRINGFIELD RD,5023,5.51%,487,136,02-Sep-15,,,,,
370363.7129,5031957.578,QUEEN MARY ST @ VANIER PKWY,42466,1.76%,156,87,30-Jul-15,,,,,
385630.8551,5035036.133,RAVENSWOOD WAY/WATERFERN WAY @ STORMWIND AVE,1382,3.08%,106,9,25-Aug-15,,,,,
348803.086,5019506.072,RICHARDSON SIDE RD @ TERRY FOX DR,18571,3.58%,4,0,03-Mar-15,,,,,
356781.6411,5015891.437,RICHMOND RD @ STONEHAVEN DR,21260,2.65%,2,0,04-Mar-15,,,,,
372212.703,5002825.334,RIDEAU VALLEY DR E @ ROGER STEVENS DR E,8012,6.48%,0,8,25-Aug-15,,,,,
368280.714,5025609.527,RIDGEWOOD AVE @ RIVERSIDE DR,31327,2.37%,310,71,28-Aug-15,,,,,
368048.7049,5012370.416,RIVER RD @ RIDEAU RD,9290,5.80%,1,7,05-Aug-15,,,,,
368116.714,5023242.508,RIVERGATE WAY @ RIVERSIDE DR,32171,2.88%,78,154,28-May-15,,,,,
368116.714,5023242.508,RIVERGATE WAY @ RIVERSIDE DR,31351,3.38%,71,33,21-Oct-15,,,,,
370385.937,5030402.193,RIVERSIDE DR @ SAN REMO PRIV,32329,3.10%,137,24,28-Aug-15,,,,,
369937.566,5029316.745,RIVERSIDE DR @ SMYTH RD NORTH SIDE RAMP,32328,2.80%,81,6,30-Jul-15,,,,,
369788.4449,5028997.976,RIVERSIDE DR @ SMYTH RD SOUTH SIDE RAMP,36091,2.56%,20,5,16-Jul-15,,,,,
369768.686,5028792.936,RIVERSIDE DR @ TRANSITWAY - RIVERSIDE H,35357,2.56%,11,6,02-Dec-15,,,,,
