RECORD,LOCATION & GEOID,TOTAL_COLLISIONS,2013_TOTAL,2014_TOTAL,2015_TOTAL,2016_TOTAL,2017_TOTAL,TOTAL_CYCLIST_COLLISIONS,2013_CYCLIST,2014_CYCLIST,2015_CYCLIST,2016_CYCLIST,2017_CYCLIST,TOTAL_PEDESTRIAN_COLLISIONS,2013_PEDESTRIAN,2014_PEDESTRIAN,2015_PEDESTRIAN,2016_PEDESTRIAN,2017_PEDESTRIAN,XCOORD,YCOORD,LONGITUDE,LATITUDE
2843,CASTLEFRANK RD btwn TORCASTLE WAY & TORCASTLE WAY (__3ZABZ9),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353443.57927,5017070.86608,-75.87984354290,45.29190837200
2844,CASTLEFRANK RD btwn WINCHESTER DR & MCKITRICK DR (__3ZAB1A),2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,352990.31778,5017399.61340,-75.88558989140,45.29489774950
2845,CASTLEFRANK RD N @ GLAMORGAN DR N (0004038),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,353398.61890,5016665.44490,-75.88045642770,45.28826340540
2846,CASTLEFRANK RD S @ SHELDRAKE DR S (0004033),2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353288.61700,5016427.44300,-75.88188192930,45.28612940330
2847,CASTLESTONE WAY @ WILLOW CREEK CIRC (0010922),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,366688.73790,5014176.78850,-75.71135635420,45.26482601200
2848,CASTLESTONE WAY btwn CORTLEIGH DR & WILLOW CREEK CIRC (__44Z9DY),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366660.38302,5014152.39060,-75.71172068270,45.26460897500
2849,CASTLETHORPE CRES btwn NORWICH WAY & NORWICH WAY (__3ZABIO),3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,361550.02257,5023065.54908,-75.77581546230,45.34524066310
2850,CASTLEWOOD AVE btwn MOONEY AVE & KILLARNEY DR (__3ZAARN),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362871.71188,5025773.72180,-75.75863269360,45.36950037090
2851,CASTOR RD @ YORKS CORNERS RD (0010354),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,391978.81000,5005761.32610,-75.39061262320,45.18643094110
2852,CATHCART ST @ DALHOUSIE ST (0008430),3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,367778.69560,5032932.58930,-75.69507990660,45.43348996800
2853,CATHCART ST @ KING EDWARD AVE NB (0013340),4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,368093.70300,5033120.59210,-75.69103008320,45.43515310900
2854,CATHCART ST @ KING EDWARD AVE SB/MACDONALD-CAR (0011439),4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,368087.37510,5033096.65010,-75.69111403110,45.43493826030
2855,CATHCART ST @ PARENT AVE (0008423),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,367640.70120,5032849.59130,-75.69685400840,45.43275559480
2856,CATHCART ST btwn CATHCART SQ & RAMP (__3ZBN7O),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,368037.38774,5033087.32642,-75.69175406160,45.43485889130
2857,CATHCART ST btwn DALHOUSIE ST & CUMBERLAND ST (__3ZA7DN),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367866.20190,5032984.59155,-75.69395495340,45.43394998010
2858,CATHCART ST btwn SUSSEX DR & PARENT AVE (__3ZA7BD),2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367562.36162,5032802.90816,-75.69786109250,45.43234259150
2859,CATHERINE ST @ ELGIN ST (0002638),27,5,4,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,368552.70960,5030577.57190,-75.68549313750,45.41223021860
2860,CATHERINE ST @ HWY 417 BRONSON IC121AR61 (0002694),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,367354.70720,5029855.56220,-75.70088896280,45.40584190320
2861,CATHERINE ST @ KENT ST (0002707),83,22,18,12,14,17,0,0,0,0,0,0,2,0,1,0,1,0,367907.70750,5030188.56440,-75.69378268380,45.40878851440
2862,CATHERINE ST @ LYON ST/HWY 417 LYON IC120BR36 (0002254),19,4,1,5,2,7,1,1,0,0,0,0,0,0,0,0,0,0,367747.70660,5030092.56510,-75.69583879150,45.40793915090
2863,CATHERINE ST @ METCALFE ST (0011239),46,6,14,12,4,10,0,0,0,0,0,0,1,0,1,0,0,0,368393.70670,5030486.56310,-75.68753610010,45.41142581870
2864,CATHERINE ST @ PERCY ST (0007199),5,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,367491.70350,5029937.56010,-75.69912863630,45.40656743940
2865,CATHERINE ST @ QUEEN ELIZABETH DRWY (0002627),5,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,368673.71240,5030634.56740,-75.68393997300,45.41273201080
2866,CATHERINE ST btwn BANK ST & O'CONNOR ST (__3ZA3PU),10,2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,368142.23150,5030330.29110,-75.69076866840,45.41004254010
2867,CATHERINE ST btwn BAY ST & HWY417 IC120B RAMP36 (__3ZA3PH),8,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367687.20655,5030056.56450,-75.69661619880,45.40762066700
2868,CATHERINE ST btwn BRONSON AVE & HWY417 IC121A RAMP61 (__3ZA3B4),10,0,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,367304.57213,5029824.52829,-75.70153328990,45.40556714790
2869,CATHERINE ST btwn ELGIN ST & QUEEN ELIZABETH DRWY (__3ZA257),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368616.86088,5030597.95387,-75.68467098270,45.41240776180
2870,CATHERINE ST btwn HWY417 IC120B RAMP36 & KENT ST (__3ZBOE0),9,2,3,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,367827.70710,5030140.56490,-75.69481074470,45.40836383870
2871,CATHERINE ST btwn HWY417 IC121A RAMP61 & PERCY ST (__3ZA3B5),2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367423.20600,5029896.56355,-75.70000879660,45.40620469670
2872,CATHERINE ST btwn KENT ST & BANK ST (__3ZA3PQ),5,2,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,367973.85979,5030228.90863,-75.69293248540,45.40914555090
2873,CATHERINE ST btwn METCALFE ST & ELGIN ST (__3ZA3PE),7,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,368473.20900,5030532.06790,-75.68651461510,45.41182802680
2874,CATHERINE ST btwn O'CONNOR ST & TO BE DETERMINED (__3ZBOE7),3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,368275.20790,5030411.56710,-75.68905952810,45.41076178720
2875,CATHERINE ST btwn PERCY ST & BAY ST (__3ZBOEA),3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,367559.20600,5029979.06410,-75.69826111000,45.40693483070
2876,CATHERINE ST btwn TO BE DETERMINED & METCALFE ST (2) (__3ZBOE6),3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,368350.20845,5030458.56750,-75.68809537990,45.41117787480
2877,CATHERINE ST/HWY 417 O'CONN IC119BR76 @ O'CONN (0001697),85,18,12,25,14,16,0,0,0,0,0,0,1,0,0,1,0,0,368243.71100,5030392.56410,-75.68946432850,45.41059366040
2878,CAVALIER WAY btwn DES GRANDS CHAMPS & DES GRANDS CHAMPS (__3ZACGH),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380666.44210,5033294.36148,-75.53032976000,45.43546552580
2879,CAVAN ST @ LAPERRIERE AVE (0006732),6,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,364391.70480,5026880.54500,-75.73909598810,45.37933179390
2880,CAVAN ST @ LAROSE AVE (0003070),3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,364480.69590,5026737.54120,-75.73797707990,45.37803749510
2881,CAVAN ST @ LEPAGE AVE (0002821),2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364613.70010,5026525.54070,-75.73630466880,45.37611860890
2882,CAVAN ST @ WOODWARD AVE (0011301),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364436.28700,5026808.25800,-75.73853551620,45.37867757430
2883,CAVAN ST btwn CHATELAIN AVE & LEPAGE AVE (__3ZAA6S),2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,364591.19645,5026561.53510,-75.73658760880,45.37644440100
2884,CAVAN ST btwn RAVEN AVE & CHATELAIN AVE (__3ZA0EQ),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364546.19590,5026633.03550,-75.73715347330,45.37709158820
2885,CAVANAGH DR @ LANGSTAFF DR (0005651),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341446.54740,5023050.52520,-76.03234519170,45.34644391430
2886,CAVANMORE RD btwn WESCAR LANE & CARP RD (__3ZA1P8),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,345606.84211,5017447.31025,-75.97971851110,45.29579454070
2887,CAVANMORE RD btwn WILLIAM MOONEY RD & HUNTLEY MANOR DR (__3ZBNAF),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344988.41593,5016875.72244,-75.98764935410,45.29068680760
2888,CAVENDISH RD @ PLEASANT PARK RD (0011551),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370181.71960,5028446.53620,-75.66496557670,45.39290564560
2889,CAVENDISH RD @ RACHAEL AVE (0007340),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,370204.71590,5028239.55620,-75.66469934240,45.39104116500
2890,CAVESSON ST btwn EQUINE WAY & TAPADERO AVE (__827GGV),1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,353094.82095,5015040.48355,-75.88448719700,45.27366252040
2891,CAYMAN RD btwn CAMPOBELLO DR & GRENADINE ST (__7JQ6FH),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,349739.33299,5016399.02900,-75.92712732930,45.28610961900
2892,CAYMAN RD btwn CAMPOBELLO DR & MALOJA WAY (__7JQ6CE),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349655.03645,5016491.64150,-75.92819348840,45.28694836090
2893,CECILIA CRES btwn ELAINE DR & ELAINE DR (__3ZA1SE),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372362.23827,5032757.53224,-75.63652890690,45.43148707530
2894,CEDAR ACRES DR btwn CEDAR LANE & END (__3ZA71I),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376917.25605,5012728.43250,-75.58124093460,45.25081988500
2895,CEDAR CREEK DR @ HILLMAN MARSH WAY S (0014129),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,375681.72490,5020158.42710,-75.59591804300,45.31779794530
2896,CEDAR CREEK DR @ HILLMAN MARSH WAY/OLD CROW WA (0012610),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,375547.49860,5020079.14840,-75.59764118120,45.31709816490
2897,CEDAR CREEK DR btwn HILLMAN MARSH WAY & HILLMAN MARSH WAY (__5GU06B),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,375651.84450,5020208.53505,-75.59629194650,45.31825181310
2898,CEDAR CREEK DR/DEVONWOOD CIRC @ FINDLAY CREEK  (0012609),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,375592.32820,5020307.34040,-75.59703685480,45.31914682750
2899,CEDAR LANE @ PARKWAY RD (0005352),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376563.74920,5012824.42800,-75.58573010410,45.25171975930
2900,CEDAR VALLEY DR btwn BRIDGESTONE DR & SPIRITWOOD DR (__5RG40J),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355595.08246,5016150.67524,-75.85250998730,45.28347609160
2901,CEDARCROFT CRES @ MARIGOLD CRES N (0009927),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374323.72850,5032236.57210,-75.61153685220,45.42660751060
2902,CEDARCROFT CRES btwn BIRCHMOUNT DR & EASTCLIFFE WAY (__3ZA7RJ),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,374090.49118,5032046.61746,-75.61454382030,45.42492154250
2903,CEDARCROFT CRES btwn BIRCHMOUNT DR & MEADOWBROOK RD (__3ZA7RK),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374405.63505,5032034.75055,-75.61051879230,45.42478348250
2904,CEDARCROFT CRES btwn MARIGOLD CRES & MARIGOLD CRES (__3ZA7RS),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374344.79725,5032188.12280,-75.61127448160,45.42616949510
2905,CEDARCROFT CRES W @ MEADOWBROOK RD W (0009382),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,374335.72980,5031929.57240,-75.61142684210,45.42384409720
2906,CEDARDOWN PRIV KILBIRNIE DR btwn  & END (__7I785C),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365978.62007,5011779.09883,-75.72069963120,45.24331374570
2907,CEDARHILL DR btwn LITTLE DRY CREEK PL & COUNTRYSIDE GR (__3ZAADV),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360406.24933,5016972.13977,-75.79109400490,45.29050357320
2908,CEDARHILL DR btwn ROYAL COUNTY DOWN & ROYAL BIRKDALE GR (__3ZAB9R),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360490.46831,5016270.44190,-75.79009917160,45.28418297080
2909,CEDARHILL DR N @ CEDARVIEW RD (0001128),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,360636.67400,5017192.44970,-75.78813182270,45.29246766690
2910,CEDARLAKES WAY btwn SPARTAN GROVE ST & STAGECOACH RD (e___1G5U),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376283.80781,5011745.21283,-75.58945126630,45.24203779980
2911,CEDAROCK DR @ STONEHAVEN DR (0003166),8,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,354727.12300,5016855.08600,-75.86350237820,45.28987671680
2912,CEDAROCK DR btwn HANOVER CRT & SPRINGTREE PL (__3ZA2VO),2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,354942.10921,5016874.79391,-75.86075979830,45.29003874650
2913,CEDAROCK DR btwn STONEHAVEN DR & HANOVER CRT (__3ZA2VQ),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354794.85522,5016796.03280,-75.86264489710,45.28934052860
2914,CEDAROW CRT @ HAZELDEAN RD (0000074),3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,350593.60330,5015763.44170,-75.91629657190,45.28033526840
2915,CEDARVIEW RD @ FALLOWFIELD RD (0001603),25,3,7,4,5,6,1,0,0,1,0,0,0,0,0,0,0,0,361294.66720,5015664.44210,-75.77991763070,45.27866596810
2916,CEDARVIEW RD @ HWY 416 WESTHUNT IC72R24 (0005514),15,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,359607.88600,5019743.77600,-75.80096487910,45.31550568410
2917,CEDARVIEW RD @ HWY 416 WESTHUNT IC72R42 (0005515),13,3,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,359597.36110,5019761.69770,-75.80109712420,45.31566776600
2918,CEDARVIEW RD @ JOCKVALE RD (0000788),9,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,361474.67030,5015252.43240,-75.77767052860,45.27494418780
2919,CEDARVIEW RD @ KENNEVALE DR (0010465),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361873.67450,5014315.41190,-75.77269325170,45.26648053670
2920,CEDARVIEW RD @ MARAVISTA DR (0000764),4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361667.67270,5014806.42930,-75.77526195630,45.27091543650
2921,CEDARVIEW RD @ WEST HUNT CLUB RD (0010267),82,18,15,14,12,23,0,0,0,0,0,0,0,0,0,0,0,0,359718.67740,5019554.47770,-75.79957290460,45.31379371080
2922,CEDARVIEW RD btwn 217 S OF FALLOWFIELD RD/CEDARVIEW MIDDLE PS & JOCKVA (__3ZAB7IB),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,361428.58216,5015359.20622,-75.77824570390,45.27590865980
2923,CEDARVIEW RD btwn BASELINE RD & BRUIN RD (__3ZAZMH),3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359074.16758,5021300.80272,-75.80760092710,45.32955735790
2924,CEDARVIEW RD btwn BRUIN RD & HWY416 IC72 RAMP62 (__3ZAZO7),10,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,359306.44413,5020317.09147,-75.80474618090,45.32068787580
2925,CEDARVIEW RD btwn CAMBRIAN RD & BARNSDALE RD (__3ZA1T5),2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,363449.43617,5010823.80262,-75.75302650410,45.23493318500
2926,CEDARVIEW RD btwn FALLOWFIELD RD & 217 S OF FALLOWFIELD RD/CEDARVIEW M (__3ZAB7IA),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361338.33420,5015565.10050,-75.77937240960,45.27776857490
2927,CEDARVIEW RD btwn HWY416 IC72 RAMP24 & WEST HUNT CLUB RD (__3ZAZEP),2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,359661.79759,5019651.65962,-75.80028752790,45.31467260530
2928,CEDARVIEW RD btwn LYTLE AVE & CEDARHILL DR (__3ZA4XG),2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,360578.29845,5017329.79260,-75.78886055560,45.29370812370
2929,CEDARVIEW RD btwn WEST HUNT CLUB RD & LYTLE AVE (__3ZA1XV),15,2,1,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,360144.57701,5018587.54567,-75.79424942560,45.30505976700
2930,CEDARVIEW RD/WILLIAM MCEWEN DR @ BROPHY DR/SEC (0000533),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364270.24790,5007762.70710,-75.74293900890,45.20732032740
2931,CEDARWOOD DR @ WALKLEY RD (0002235),18,6,3,2,1,6,0,0,0,0,0,0,4,2,1,1,0,0,371194.72860,5026455.52400,-75.65229695800,45.37489593830
2932,CEDARWOOD DR btwn WALKLEY RD & BAYCREST DR (__3ZA9YT),11,3,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,371122.01355,5026636.58033,-75.65320093860,45.37653190520
2933,CELEBRATION ST btwn TRUMP AVE & FESTIVE PRIV (__3ZAZIS),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,364743.27639,5025982.58723,-75.73471629720,45.37122213180
2934,CELESTE WAY btwn SERENITY AVE & BALLANTYNE DR (__30LOEO),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385596.20394,5037184.41802,-75.46669208290,45.46991231170
2935,CELESTE WAY btwn VENUS AVE & BALLANTYNE DR (__3ZAZMP),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,385836.45383,5037264.79645,-75.46360676160,45.47060764350
2936,CELLINI CRT btwn JOHNSTON RD & JOHNSTON RD (__3ZA461),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374398.16088,5026634.72697,-75.61137631060,45.37619747290
2937,CELTIC CRT btwn Continuation of CELTIC CRT & Continuation of CELTIC CR (__3ZA9GN),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,371790.89981,5025124.51351,-75.64486660460,45.36286324480
2938,CELTIC RIDGE CRES btwn BRAECREEK AVE & MAXWELL BRIDGE RD (__5J15OM),2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349311.63130,5024838.89325,-75.93182060190,45.36208101930
2939,CELTIC RIDGE CRES btwn STREAMSIDE CRES & GLENBRAE AVE (__5J15RY),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349589.55560,5024717.26000,-75.92828417110,45.36096883580
2940,CELTIC RIDGE CRES/MARCONI AVE @ MAXWELL BRIDGE (0012744),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,349386.72710,5024756.62410,-75.93086949340,45.36133597160
2941,CENTENNIAL BLVD @ MAIN ST (0007246),8,0,1,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,369480.71970,5029416.55980,-75.67379039060,45.40169868690
2942,CENTENNIAL BLVD btwn BULLOCK AVE & RIDEAU GARDEN DR (__3ZA891),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,369698.46110,5029544.18110,-75.67099253330,45.40282682670
2943,CENTENNIAL BLVD btwn MAIN ST & BULLOCK AVE (__3ZA92R),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,369570.46110,5029469.18055,-75.67263727350,45.40216385330
2944,CENTER ST @ MONTREAL RD (0002691),12,1,3,3,1,4,1,0,0,0,0,1,0,0,0,0,0,0,371821.70810,5033951.58770,-75.64327373740,45.44228263310
2945,CENTER ST btwn MONTREAL RD & PAUL AVE (__3ZA8W2),11,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,371884.78201,5033790.11774,-75.64248957630,45.44082375410
2946,CENTERRA CRT btwn END & KILBIRNIE DR (__77AX1B),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,365308.62611,5011778.20343,-75.72923342200,45.24336360020
2947,CENTRAL PARK DR @ SCOUT ST (0011606),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,364668.49360,5025466.41850,-75.73573350140,45.36658412070
2948,CENTRAL PARK DR btwn CRYSTAL PARK CRES & MERIVALE RD (__3ZAZ7C),3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,364915.28890,5025869.52495,-75.73253420550,45.37019008310
2949,CENTRAL PARK DR btwn STATEN WAY & SCOUT ST (__3ZAZK2),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364570.85412,5025489.78505,-75.73697700530,45.36680270290
2950,CENTRAL PARK DR N @ MERIVALE RD (0011433),26,6,7,4,3,6,1,0,0,0,1,0,3,1,1,0,0,1,364952.90390,5025873.58780,-75.73205353980,45.37022341190
2951,CENTRAL PARK DR S @ MERIVALE RD (0009113),14,5,4,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,364987.20040,5025598.49120,-75.73164924620,45.36774519440
2952,CENTREPARK DR @ SILVER ASPEN CRES S (0003861),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377640.74050,5033046.57030,-75.56903351740,45.43355779460
2953,CENTREPARK DR btwn SILVER ASPEN CRES & BEARBROOK RD (__3ZA7LC),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377759.60486,5033026.67206,-75.56751748030,45.43336637230
2954,CENTREPOINTE DR @ CHRYSALIS WAY/PLUNKETT CRT (0009777),4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,362634.21900,5022685.94000,-75.76202560370,45.34173640950
2955,CENTREPOINTE DR @ CONSTELLATION CRES S (0010246),7,3,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,362377.02600,5023120.74600,-75.76525654900,45.34566992460
2956,CENTREPOINTE DR @ DALECROFT CRT W (0000679),2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,362244.93810,5022242.71510,-75.76704394370,45.33778027850
2957,CENTREPOINTE DR @ GEMINI WAY (0010344),3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,362112.68600,5023380.49710,-75.76859942900,45.34802879900
2958,CENTREPOINTE DR @ HEMMINGWOOD WAY E (0001025),9,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,362327.01290,5023204.49890,-75.76588497500,45.34642763170
2959,CENTREPOINTE DR @ HEMMINGWOOD WAY W (0001187),4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,361701.68050,5022999.50030,-75.77388791650,45.34463407250
2960,CENTREPOINTE DR @ MARBLE ARCH CRES N (0000702),1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,361795.67840,5022637.49530,-75.77273023170,45.34136913550
2961,CENTREPOINTE DR @ PASEO PRIV (0013547),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362512.59210,5022862.46190,-75.76355686120,45.34333475950
2962,CENTREPOINTE DR @ PINETRAIL CRES N (0010245),2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,362655.68930,5022422.48460,-75.76178247000,45.33936408350
2963,CENTREPOINTE DR @ REC PATH BEN FRANKLIN PL (0005075),3,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,362422.32000,5023031.93000,-75.76468894440,45.34486704430
2964,CENTREPOINTE DR @ SUMMERWALK PL (0001134),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,361816.67860,5022578.49970,-75.77246908810,45.34083658900
2965,CENTREPOINTE DR @ TALLWOOD DR (0004573),6,1,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,362670.69300,5022576.49950,-75.76157302970,45.34074866280
2966,CENTREPOINTE DR @ WYCLIFFE ST (0001017),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,362310.67870,5022244.50740,-75.76620500180,45.33779101990
2967,CENTREPOINTE DR btwn 90 N OF EPSILON WAY & PLUNKETT CRT (__4CZCH3B),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362608.09181,5022714.16727,-75.76235566510,45.34199255050
2968,CENTREPOINTE DR btwn CASTLEBROOK LANE & TALLWOOD DR (__3ZA00E),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362664.88946,5022604.03158,-75.76164385580,45.34099687360
2969,CENTREPOINTE DR btwn CENTREPOINTE DR & Continuation of CENTREPOINTE DR (__3ZA2OC),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362098.66055,5023403.80655,-75.76877570000,45.34823968250
2970,CENTREPOINTE DR btwn CIMARRON CRES & HYDE PARK WAY (__3ZAA20),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361760.18190,5022770.00055,-75.77316787720,45.34256429590
2971,CENTREPOINTE DR btwn Continuation of CENTREPOINTE DR & HEMMINGWOOD WAY (__3ZAA3T),9,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,362219.44581,5023290.18968,-75.76724760160,45.34720748640
2972,CENTREPOINTE DR btwn DALECROFT CRES & WYCLIFFE ST (__3ZA5Q5),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362277.86902,5022239.37380,-75.76662419190,45.33774751660
2973,CENTREPOINTE DR btwn HEMMINGWOOD WAY & Continuation of CENTREPOINTE DR (__3ZA0AP),2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,362352.90219,5023163.14389,-75.76555943530,45.34605339810
2974,CENTREPOINTE DR btwn HEMMINGWOOD WAY & NE/OT BOUNDARY (__3ZBOHS),2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361675.69150,5023082.47355,-75.77420999010,45.34538277050
